Entity,Day,"Covid cumulative excess deaths per 100,000 people (central estimate)"
Thailand,2024-06-17,314.07788
Togo,2024-06-17,184.92943
Tonga,2024-06-17,-2.997698
Trinidad and Tobago,2024-06-17,360.14594
Tunisia,2024-06-17,226.85114
Turkey,2024-06-17,349.36044
Turkmenistan,2024-06-17,191.48164
Tuvalu,2024-06-17,123.34867
Uganda,2024-06-17,275.5982
Ukraine,2024-06-17,599.86285
United Arab Emirates,2024-06-17,138.11308
United Kingdom,2024-06-17,409.11884
United States,2024-06-17,433.76694
Uruguay,2024-06-17,258.99182
Uzbekistan,2024-06-17,228.78206
Vanuatu,2024-06-17,-65.82143
Venezuela,2024-06-17,253.03825
Vietnam,2024-06-17,428.2209
Western Sahara,2024-06-17,126.12173
Yemen,2024-06-17,181.55637
Zambia,2024-06-17,303.52634
Zimbabwe,2024-06-17,314.63895
